name,color
Washington at Kearney,#e6f598
Grant Avenue at Columbus Avenue,#e6f598
Market at 10th,#d53e4f
South Van Ness at Market,#d53e4f
San Francisco City Hall,#d53e4f
Golden Gate at Polk,#d53e4f
Civic Center BART (7th at Market),#d53e4f
Embarcadero at Bryant,#3288bd
Embarcadero at Folsom,#3288bd
Steuart at Market,#3288bd
Harry Bridges Plaza (Ferry Building),#3288bd
Embarcadero at Vallejo,#3288bd
Embarcadero at Sansome,#3288bd
Spear at Folsom,#3288bd
Clay at Battery,#fc8d59
Davis at Jackson,#fc8d59
Commercial at Montgomery,#fc8d59
Post at Kearney,#fc8d59
Beale at Market,#fc8d59
Mechanics Plaza (Market at Battery),#fc8d59
Market at Sansome,#fc8d59
Broadway St at Battery St,#fc8d59
Townsend at 7th,#fee08b
2nd at Townsend,#fee08b
Yerba Buena Center of the Arts (3rd @ Howard),#fee08b
San Francisco Caltrain 2 (330 Townsend),#fee08b
San Francisco Caltrain (Townsend at 4th),#fee08b
Howard at 2nd,#fee08b
2nd at South Park,#fee08b
2nd at Folsom,#fee08b
5th at Howard,#fee08b
Temporary Transbay Terminal (Howard at Beale),#fee08b
Powell at Post (Union Square),#99d594
Powell Street BART,#99d594
Market at 4th,#99d594
